"start_years","AI_desc_22_desc_25"
"2000","0.0022"
"2001","0.003"
"2002","0.0035"
"2003","0.0029"
"2004","0.0038"
"2005","0.0042"
"2006","0.0032"
"2007","0.0045"
"2008","0.0044"
"2009","0.0051"
"2010","0.0055"
"2011","0.0068"
"2012","0.0084"
"2013","0.0097"
"2014","0.0129"
"2015","0.0162"
"2016","0.0216"
"2017","0.0257"
"2018","0.0355"
"2019","0.0442"
"2020","0.0621"
"2021","0.0878"
"2022","0.1195"
