"start_years","AI_nodesc_22_desc_25"
"2000","146"
"2001","174"
"2002","190"
"2003","177"
"2004","279"
"2005","374"
"2006","316"
"2007","500"
"2008","514"
"2009","537"
"2010","746"
"2011","1019"
"2012","1372"
"2013","1673"
"2014","2350"
"2015","3024"
"2016","3943"
"2017","4769"
"2018","6748"
"2019","7982"
"2020","8414"
"2021","11557"
"2022","3730"
